Plant,Genotype,Treatment,Replicate,ColorbyGenotype,ColorbyPhenotype,Color,DOFF,DOLF,DurationFlowering,SumFlowers,LeafSum14,LeafSum26,LeafSum34,LeafNum14,LeafNum26,LeafNum34,Height14,Height26,Height34
1/4/05,1,4,5,PinkD,Pink,Pink,54,80,27,57,6.9,20.7,39.3,2,5,8,8.1,45,111
1/4/04,1,4,4,PinkD,Pink,Pink,47,79,33,75,3.3,13,36,1,3,7,10.9,36,54
1/2/05,1,2,5,PinkD,Pink,Pink,52,79,28,33,8.1,19.7,36.1,3,5,8,7.6,45,77
1/1/01,1,1,1,PinkD,Pink,Pink,49,80,32,69,3,8.8,30,2,3,8,5.2,8,59
1/1/06,1,1,6,PinkD,Pink,Pink,58,79,22,40,6.8,16.4,40.8,2,4,9,7.2,44,46
1/2/06,1,2,6,PinkD,Pink,Pink,57,80,24,21,8.4,25.5,62.3,3,6,13,7.9,62,108
1/1/04,1,1,4,PinkD,Pink,Pink,47,79,33,98,7.9,20.5,51.5,2,5,13,17.3,55,55
1/3/03,1,3,3,PinkD,Pink,Pink,62,79,18,32,1.7,7.8,25.2,1,3,6,4.6,7,34
1/4/02,1,4,2,PinkD,Pink,Pink,47,80,34,117,4.9,16.5,39,2,4,10,8.1,41,37
1/1/05,1,1,5,PinkD,Pink,Pink,52,80,29,50,2.1,11.5,28.4,1,3,7,6.5,13,69
1/2/02,1,2,2,PinkD,Pink,Pink,50,79,30,66,8.7,23.5,52,3,5,14,8.2,59,59
1/2/04,1,2,4,PinkD,Pink,Pink,48,79,32,97,7.1,25,43.5,2,6,11,9.3,19,102
1/2/03,1,2,3,PinkD,Pink,Pink,43,78,36,70,5.1,26.5,45,2,6,11,9.2,56.5,96
1/3/01,1,3,1,PinkD,Pink,Pink,47,78,32,89,7.6,18.6,39.3,3,5,10,9,38,94
1/4/06,1,4,6,PinkD,Pink,Pink,48,78,31,80,10.8,32.5,79.3,3,7,20,11,86,130
1/3/04,1,3,4,PinkD,Pink,Pink,53,79,27,39,4.9,15,42.1,2,5,10,6.8,21,83
1/3/02,1,3,2,PinkD,Pink,Pink,67,80,14,13,8.4,19.5,33.4,3,6,8,9.7,45,97
1/1/03,1,1,3,PinkD,Pink,Pink,44,78,35,47,3.6,16.1,41.8,2,5,10,6.5,41,85
2/2/01,2,2,1,Purple,Purple,Purple,50,80,31,103,4.9,22.3,44.5,2,5,10,7.4,54,78
2/4/05,2,4,5,Purple,Purple,Purple,38,80,43,110,6.5,20.8,45.9,2,5,10,8.4,43,45
2/2/02,2,2,2,Purple,Purple,Purple,58,80,23,46,4.7,20.6,47.5,2,5,9,8.1,55,102
2/3/05,2,3,5,Purple,Purple,Purple,58,80,23,25,2,2.5,5.5,2,2,4,4,2,7
2/4/04,2,4,4,Purple,Purple,Purple,49,80,32,100,7.3,22,46,3,6,10,7,47,60
2/4/03,2,4,3,Purple,Purple,Purple,52,80,29,55,2.5,16.5,41.6,1,4,8,4.9,0,78
2/2/06,2,2,6,Purple,Purple,Purple,53,78,26,40,4.7,16.5,25.5,2,4,6,4.6,32,66
2/1/04,2,1,4,Purple,Purple,Purple,53,79,27,45,0.8,9.8,27.5,1,3,7,3.4,6,61
2/2/03,2,2,3,Purple,Purple,Purple,4,79,76,69,3.2,17.5,39.5,2,4,9,5,36,80
2/1/05,2,1,5,Purple,Purple,Purple,49,79,31,90,8.7,20.5,33.5,3,5,8,15,53,98
2/2/05,2,2,5,Purple,Purple,Purple,50,80,31,78,5.4,20,39.5,2,5,9,8.8,58.5,97
2/1/06,2,1,6,Purple,Purple,Purple,52,80,29,54,5.3,22.5,49.3,2,5,11,6.2,50,84
2/4/06,2,4,6,Purple,Purple,Purple,53,79,27,77,2.2,14.3,33.6,1,4,8,6,46,46
3/1/03,3,1,3,Purple,Purple,Purple,57,80,24,81,10.5,27.1,47,3,7,10,20,56,90.5
3/4/06,3,4,6,Purple,Purple,Purple,51,80,30,86,6.7,18.4,38.3,2,5,9,10,48,51
3/2/02,3,2,2,Purple,Purple,Purple,49,80,32,100,8.1,18.7,42,3,5,9,9.9,67,68
3/3/06,3,3,6,Purple,Purple,Purple,8,80,73,108,5,9.5,25.3,3,3,6,5.5,11,50
3/1/04,3,1,4,Purple,Purple,Purple,49,80,32,96,2.9,15.2,32.5,1,4,7,6.3,43,38
3/2/03,3,2,3,Purple,Purple,Purple,57,80,24,57,7.4,22.3,52.6,2,5,11,10.5,75,75
3/2/06,3,2,6,Purple,Purple,Purple,58,80,23,27,2.8,19,35.5,1,4,9,5.1,48,68
3/1/05,3,1,5,Purple,Purple,Purple,58,80,23,42,3.3,8.5,20.2,2,3,6,5.8,11,44
3/3/05,3,3,5,Purple,Purple,Purple,45,80,36,34,2.5,15.5,41.5,1,3,8,4.7,27.5,83
3/2/05,3,2,5,Purple,Purple,Purple,47,80,34,94,4,20.5,33.4,2,5,8,4.8,39.5,88
3/2/01,3,2,1,Purple,Purple,Purple,47,80,34,77,7.1,26.7,68,2,6,17,9,80,82
3/2/04,3,2,4,Purple,Purple,Purple,48,80,33,55,6.2,23.7,54.3,2,6,13,8,72,96
3/1/06,3,1,6,Purple,Purple,Purple,48,80,33,62,7,19.7,43.3,3,6,10,7.9,48,85
3/4/04,3,4,4,Purple,Purple,Purple,50,80,31,58,2.7,13.4,39.9,2,5,9,2.6,29,88
3/3/01,3,3,1,Purple,Purple,Purple,58,80,23,16,5.2,11.7,25.1,2,4,7,9,19,50
3/3/02,3,3,2,Purple,Purple,Purple,52,80,29,70,0,5.1,22.9,0,2,5,4.4,6,36
3/1/02,3,1,2,Purple,Purple,Purple,58,80,23,35,5.4,17.5,45.9,2,5,12,9.6,59,60
4/1/03,4,1,3,Pink,Pink,Pink,49,80,32,100,5,20.3,38,2,5,8,6,43,91
4/1/04,4,1,4,Pink,Pink,Pink,48,80,33,59,7.5,19.7,51.3,2,5,11,17,59,111
4/3/06,4,3,6,Pink,Pink,Pink,50,80,31,67,4.8,13.4,35,2,4,8,7.9,39,78
