"","Plant","Genotype","Treatment","Replicate","ColorbyGenotype","ColorbyPhenotype","Color","DOFF","DOLF","DurationFlowering","SumFlowers","LeafSum14","LeafSum26","LeafSum34","LeafNum14","LeafNum26","LeafNum34","Height14","Height26","Height34","LeafSumRGRA","LeafSumRGRB","LeafSumRGRC","LeafNumRGRA","LeafNumRGRB","LeafNumRGRC","HeightRGRA","HeightRGRB","HeightRGRC"
"1","1/4/05","1","Autoclave","5","PinkD","Pink","Pink",121,147,27,57,6.9,20.7,39.3,2,5,8,8.1,45,111,1.15,2.325,1.62,0.25,0.375,0.3,3.075,8.25,5.145
"2","1/4/04","1","Autoclave","4","PinkD","Pink","Pink",114,146,33,75,3.3,13,36,1,3,7,10.9,36,54,0.808333333333333,2.875,1.635,0.166666666666667,0.5,0.3,2.09166666666667,2.25,2.155
"3","1/2/05","1","Autoclave Inoculum","5","PinkD","Pink","Pink",119,146,28,33,8.1,19.7,36.1,3,5,8,7.6,45,77,0.966666666666667,2.05,1.4,0.166666666666667,0.375,0.25,3.11666666666667,4,3.47
"4","1/2/06","1","Autoclave Inoculum","6","PinkD","Pink","Pink",124,147,24,21,8.4,25.5,62.3,3,6,13,7.9,62,108,1.425,4.6,2.695,0.25,0.875,0.5,4.50833333333333,5.75,5.005
"5","1/4/02","1","Autoclave","2","PinkD","Pink","Pink",114,147,34,117,4.9,16.5,39,2,4,10,8.1,41,37,0.966666666666667,2.8125,1.705,0.166666666666667,0.75,0.4,2.74166666666667,-0.5,1.445
"6","1/2/02","1","Autoclave Inoculum","2","PinkD","Pink","Pink",117,146,30,66,8.7,23.5,52,3,5,14,8.2,59,59,1.23333333333333,3.5625,2.165,0.166666666666667,1.125,0.55,4.23333333333333,0,2.54
"7","1/2/04","1","Autoclave Inoculum","4","PinkD","Pink","Pink",115,146,32,97,7.1,25,43.5,2,6,11,9.3,19,102,1.49166666666667,2.3125,1.82,0.333333333333333,0.625,0.45,0.808333333333333,10.375,4.635
"8","1/2/03","1","Autoclave Inoculum","3","PinkD","Pink","Pink",110,145,36,70,5.1,26.5,45,2,6,11,9.2,56.5,96,1.78333333333333,2.3125,1.995,0.333333333333333,0.625,0.45,3.94166666666667,4.9375,4.34
"9","1/4/06","1","Autoclave","6","PinkD","Pink","Pink",115,145,31,80,10.8,32.5,79.3,3,7,20,11,86,130,1.80833333333333,5.85,3.425,0.333333333333333,1.625,0.85,6.25,5.5,5.95
"10","2/2/01","2","Autoclave Inoculum","1","Purple","Purple","Purple",117,147,31,103,4.9,22.3,44.5,2,5,10,7.4,54,78,1.45,2.775,1.98,0.25,0.625,0.4,3.88333333333333,3,3.53
"11","2/4/05","2","Autoclave","5","Purple","Purple","Purple",105,147,43,110,6.5,20.8,45.9,2,5,10,8.4,43,45,1.19166666666667,3.1375,1.97,0.25,0.625,0.4,2.88333333333333,0.25,1.83
"12","2/2/02","2","Autoclave Inoculum","2","Purple","Purple","Purple",125,147,23,46,4.7,20.6,47.5,2,5,9,8.1,55,102,1.325,3.3625,2.14,0.25,0.5,0.35,3.90833333333333,5.875,4.695
"13","2/4/04","2","Autoclave","4","Purple","Purple","Purple",116,147,32,100,7.3,22,46,3,6,10,7,47,60,1.225,3,1.935,0.25,0.5,0.35,3.33333333333333,1.625,2.65
"14","2/4/03","2","Autoclave","3","Purple","Purple","Purple",119,147,29,55,2.5,16.5,41.6,1,4,8,4.9,0,78,1.16666666666667,3.1375,1.955,0.25,0.5,0.35,-0.408333333333333,9.75,3.655
"15","2/2/06","2","Autoclave Inoculum","6","Purple","Purple","Purple",120,145,26,40,4.7,16.5,25.5,2,4,6,4.6,32,66,0.983333333333333,1.125,1.04,0.166666666666667,0.25,0.2,2.28333333333333,4.25,3.07
"16","2/2/03","2","Autoclave Inoculum","3","Purple","Purple","Purple",71,146,76,69,3.2,17.5,39.5,2,4,9,5,36,80,1.19166666666667,2.75,1.815,0.166666666666667,0.625,0.35,2.58333333333333,5.5,3.75
"17","2/2/05","2","Autoclave Inoculum","5","Purple","Purple","Purple",117,147,31,78,5.4,20,39.5,2,5,9,8.8,58.5,97,1.21666666666667,2.4375,1.705,0.25,0.5,0.35,4.14166666666667,4.8125,4.41
"18","2/4/06","2","Autoclave","6","Purple","Purple","Purple",120,146,27,77,2.2,14.3,33.6,1,4,8,6,46,46,1.00833333333333,2.4125,1.57,0.25,0.5,0.35,3.33333333333333,0,2
"19","3/4/06","3","Autoclave","6","Purple","Purple","Purple",118,147,30,86,6.7,18.4,38.3,2,5,9,10,48,51,0.975,2.4875,1.58,0.25,0.5,0.35,3.16666666666667,0.375,2.05
"20","3/2/02","3","Autoclave Inoculum","2","Purple","Purple","Purple",116,147,32,100,8.1,18.7,42,3,5,9,9.9,67,68,0.883333333333333,2.9125,1.695,0.166666666666667,0.5,0.3,4.75833333333333,0.125,2.905
"21","3/2/03","3","Autoclave Inoculum","3","Purple","Purple","Purple",124,147,24,57,7.4,22.3,52.6,2,5,11,10.5,75,75,1.24166666666667,3.7875,2.26,0.25,0.75,0.45,5.375,0,3.225
"22","3/2/06","3","Autoclave Inoculum","6","Purple","Purple","Purple",125,147,23,27,2.8,19,35.5,1,4,9,5.1,48,68,1.35,2.0625,1.635,0.25,0.625,0.4,3.575,2.5,3.145
"23","3/2/05","3","Autoclave Inoculum","5","Purple","Purple","Purple",114,147,34,94,4,20.5,33.4,2,5,8,4.8,39.5,88,1.375,1.6125,1.47,0.25,0.375,0.3,2.89166666666667,6.0625,4.16
"24","3/2/01","3","Autoclave Inoculum","1","Purple","Purple","Purple",114,147,34,77,7.1,26.7,68,2,6,17,9,80,82,1.63333333333333,5.1625,3.045,0.333333333333333,1.375,0.75,5.91666666666667,0.25,3.65
"25","3/2/04","3","Autoclave Inoculum","4","Purple","Purple","Purple",115,147,33,55,6.2,23.7,54.3,2,6,13,8,72,96,1.45833333333333,3.825,2.405,0.333333333333333,0.875,0.55,5.33333333333333,3,4.4
"26","3/4/04","3","Autoclave","4","Purple","Purple","Purple",117,147,31,58,2.7,13.4,39.9,2,5,9,2.6,29,88,0.891666666666667,3.3125,1.86,0.25,0.5,0.35,2.2,7.375,4.27
"27","4/2/04","4","Autoclave Inoculum","4","Pink","Pink","Pink",98,147,50,124,7.6,28.1,52.5,2,6,10,15,72,80,1.70833333333333,3.05,2.245,0.333333333333333,0.5,0.4,4.75,1,3.25
"28","4/2/03","4","Autoclave Inoculum","3","Pink","Pink","Pink",111,147,37,140,0,18.8,35,0,4,8,0,27,61,1.56666666666667,2.025,1.75,0.333333333333333,0.5,0.4,2.25,4.25,3.05
"29","4/2/02","4","Autoclave Inoculum","2","Pink","Pink","Pink",98,147,50,104,11.2,32.3,74.7,3,7,17,14.5,66,86,1.75833333333333,5.3,3.175,0.333333333333333,1.25,0.7,4.29166666666667,2.5,3.575
"30","4/2/05","4","Autoclave Inoculum","5","Pink","Pink","Pink",125,147,23,17,2.5,15.7,26.1,1,4,6,5,42,71,1.1,1.3,1.18,0.25,0.25,0.25,3.08333333333333,3.625,3.3
"31","4/2/06","4","Autoclave Inoculum","6","Pink","Pink","Pink",100,147,48,120,7.6,35.8,85.2,2,9,17,13,72,91,2.35,6.175,3.88,0.583333333333333,1,0.75,4.91666666666667,2.375,3.9
"32","4/4/03","4","Autoclave","3","Pink","Pink","Pink",89,147,59,36,0,14.3,38.1,0,4,9,3,25.5,77,1.19166666666667,2.975,1.905,0.333333333333333,0.625,0.45,1.875,6.4375,3.7
"33","4/4/01","4","Autoclave","1","Pink","Pink","Pink",110,147,38,78,6.2,20.2,65.9,2,6,17,6.7,55,94,1.16666666666667,5.7125,2.985,0.333333333333333,1.375,0.75,4.025,4.875,4.365
"34","4/4/06","4","Autoclave","6","Pink","Pink","Pink",120,147,28,53,5.2,21.8,55,2,6,12,4,22,75,1.38333333333333,4.15,2.49,0.333333333333333,0.75,0.5,1.5,6.625,3.55
"35","4/2/01","4","Autoclave Inoculum","1","Pink","Pink","Pink",119,147,29,45,14.3,30.6,74.5,4,9,16,13.1,56,91,1.35833333333333,5.4875,3.01,0.416666666666667,0.875,0.6,3.575,4.375,3.895
